Date,Car sales
12/1/2013,1350623
1/1/2014,1006049
2/1/2014,1186038
3/1/2014,1529348
4/1/2014,1381300
5/1/2014,1598730
6/1/2014,1412565
7/1/2014,1427029
8/1/2014,1575971
9/1/2014,1239405
10/1/2014,1275657
11/1/2014,1291817
12/1/2014,1500108
1/1/2015,1149107
2/1/2015,1254709
3/1/2015,1540724
4/1/2015,1449812
5/1/2015,1629328
6/1/2015,1471074
7/1/2015,1507307
8/1/2015,1568896
9/1/2015,1435728
10/1/2015,1449359
11/1/2015,1313000
12/1/2015,1635926
1/1/2016,1147705
2/1/2016,1340801
3/1/2016,1590701
4/1/2016,1501379
5/1/2016,1520463
6/1/2016,1508662
7/1/2016,1517151
8/1/2016,1508095
9/1/2016,1428354
10/1/2016,1368064
11/1/2016,1375086
12/1/2016,1694258
1/1/2017,1147705
2/1/2017,1340801
3/1/2017,1590701
4/1/2017,1501379
5/1/2017,1520463
6/1/2017,1508662
7/1/2017,1517151
8/1/2017,1508095
9/1/2017,1428354
10/1/2017,1368064
11/1/2017,1375086
12/1/2017,1694258
1/1/2018,1156581
2/1/2018,1305932
3/1/2018,1657716
4/1/2018,1364619
5/1/2018,1576158
6/1/2018,1549950
7/1/2018,1373655
8/1/2018,1500121
9/1/2018,1440820
10/1/2018,1393137
11/1/2018,1399187
12/1/2018,1605973
1/1/2019,1172653
2/1/2019,1257589
3/1/2019,1552126
4/1/2019,1355548
5/1/2019,1606260
6/1/2019,1462664
7/1/2019,1417418
8/1/2019,1628577
9/1/2019,1282712
10/1/2019,1384010
11/1/2019,1445173
12/1/2019,1459164
1/1/2020,1157415
2/1/2020,1434716
3/1/2020,944850
4/1/2020,563122
5/1/2020,1181756
6/1/2020,1214706
7/1/2020,1336267
8/1/2020,1298489
9/1/2020,1370243
10/1/2020,1398735
11/1/2020,1199580
12/1/2020,1597958
1/1/2021,1174053
2/1/2021,1256529
3/1/2021,1536038
4/1/2021,1493938
5/1/2021,1502642
6/1/2021,1352285
